Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Engineering,South East,Environment professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Hospitality, Leisure and Tourism",East of England,Public relations professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Hospitality, Leisure and Tourism",London,Marketing associate professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"IT, Technology & Telecomms",London,Environment professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Other professional, scientific and technical activities",Asia,Environment professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Other professional, scientific and technical activities",London,"Business, research and administrative professionals n.e.c."
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Other professional, scientific and technical activities",London,Engineering professionals n.e.c.
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Other professional, scientific and technical activities",London,Environment professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Other professional, scientific and technical activities",South East,Public relations professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Policy and Government,London,Data analysts
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Policy and Government,London,Physical scientists
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Policy and Government,London,Public services associate professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Publishing, Journalism, or Translation",London,Environment professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Publishing, Journalism, or Translation",Not known,"Arts officers, producers and directors"
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Publishing, Journalism, or Translation",South East,Business and related research professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Retail and Wholesale activities,Asia,Buyers and procurement officers
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Scientific Research, development & analysis",Other European Union,Physical scientists
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,"Scientific Research, development & analysis",Other European Union,Public relations professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,High-skilled,Unknown,Not known,Social and humanities scientists
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Low-skilled,,South East,Customer service occupations n.e.c.
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Low-skilled,"Hospitality, Leisure and Tourism",East of England,Coffee shop workers
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Low-skilled,Media,London,Leisure and theme park attendants
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Low-skilled,Media,North West,Market research interviewers
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Low-skilled,Retail and Wholesale activities,London,Sales and retail assistants
MSc Climate Change,TMSGEOSCLC01/TMSGEOSCLC01,Medium-skilled,"Hospitality, Leisure and Tourism",London,Catering and bar managers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,,Asia,Business and related research professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,,London,"Authors, writers and translators"
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,,London,Business and financial project management professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,,Other European Union,Conservation professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",Asia,"Actuaries, economists and statisticians"
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",Asia,Charitable organisation managers and directors
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",Asia,Project support officers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",England region unknown,Project support officers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Biological scientists
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Business and financial project management professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Business associate professionals n.e.c.
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Project support officers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",London,Research and development (RandD) managers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",North America,Conservation professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Charities, NGOs and international development",North America,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Consultancy,London,Public relations professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Engineering,East of England,Conservation professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Health and Social Care,London,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Health and Social Care,North America,Business and financial project management professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Hospitality, Leisure and Tourism",London,Business and related research professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",Asia,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",London,"Business, research and administrative professionals n.e.c."
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",London,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",Scotland,Biological scientists
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",South East,Conservation professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Other professional, scientific and technical activities",West Midlands,Project support officers
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Policy and Government,East of England,Conservation professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Policy and Government,London,Biological scientists
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Policy and Government,London,Public services associate professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Policy and Government,North America,Environment professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Retail and Wholesale activities,London,"Science, engineering and production technicians n.e.c."
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,"Scientific Research, development & analysis",Asia,Business and related research professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Teaching or other educational activities,Middle East,Early education and childcare practitioners
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Teaching or other educational activities,South East,Primary education teaching professionals
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Unknown,Not known,Advertising accounts managers and creative directors
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,High-skilled,Unknown,Not known,Functional managers and directors n.e.c.
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,Low-skilled,"Energy, Natural Resources, the Environment",London,Sales related occupations n.e.c.
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,Low-skilled,"Hospitality, Leisure and Tourism",East of England,Bar staff
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,Medium-skilled,"Charities, NGOs and international development",London,Personal assistants and other secretaries
MSc Conservation,TMSGEOSCON01/TMSGEOSCON01,Medium-skilled,"Charities, NGOs and international development",Other European Union,Other administrative occupations n.e.c.
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,,London,Management consultants and business analysts
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Accountancy & Financial Services,London,Business associate professionals n.e.c.
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Accountancy & Financial Services,London,Management consultants and business analysts
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Charities, NGOs and international development",East of England,Programmers and software development professionals
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Construction, Built Environment, Property",Asia,Building and civil engineering technicians
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Construction, Built Environment, Property",Asia,"Chartered architectural technologists, planning officers and consultants"
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Engineering,Asia,Programmers and software development professionals
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Engineering,London,"IT business analysts, architects and systems designers"
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Manufacturing,Asia,Marketing and commercial managers
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Other professional, scientific and technical activities",Asia,Environment professionals
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Other professional, scientific and technical activities",East of England,Environment professionals
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Other professional, scientific and technical activities",Other European Union,Natural and social science professionals n.e.c.
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Other professional, scientific and technical activities",South West,Physical scientists
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Policy and Government,South West,Environment professionals
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Scientific Research, development & analysis",Asia,Research and development (RandD) managers
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Scientific Research, development & analysis",Other European Union,Biological scientists
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,"Scientific Research, development & analysis",Other European Union,Natural and social science professionals n.e.c.
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Teaching or other educational activities,Asia,Project support officers
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Teaching or other educational activities,Middle East,Child and early years officers
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
MSc Environmental Modelling,TMSGEOSENM01/TMSGEOSENM01,High-skilled,Unknown,Not known,Programmers and software development professionals
"MSc Environment, Politics and Society",TMSGEOSEPS01/TMSGEOSEPS01,High-skilled,,Asia,Brokers
"MSc Environment, Politics and Society",TMSGEOSEPS01/TMSGEOSEPS01,High-skilled,,Asia,Business and related research professionals
"MSc Environment, Politics and Society",TMSGEOSEPS01/TMSGEOSEPS01,High-skilled,,Asia,"Business, research and administrative professionals n.e.c."
